bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-73.9730341671,40.7588884262,-73.9712696518,40.760471017",uuuu,85633793,,92a06a709ea26533b6440e0522bee90c,,d0d6f62a9f073d9a6f96cb51b283be22,40.759681,-73.972151,1108913037,uuuu,US,US,1490900131,0,0,85977539,E 54th St  & Park Ave,907215785,110/891/303/7/1108913037.geojson,intersection,85688543,mapzen,,,US
"-74.0055037513,40.7055261146,-74.0046855087,40.7064564314",uuuu,85633793,,f9b8167958472ac95a22b64afaeecd6b,,114fb6128170e5a473da54b0e6337ea4,40.706007,-74.005097,1108913033,uuuu,US,US,1490900131,0,0,85977539,Fletcher St  & Front St,85865711,110/891/303/3/1108913033.geojson,intersection,85688543,mapzen,,,US
"-74.026017,40.7510610142,-74.0077832688,40.7597146621",uuuu,85633793,,d33bd6bfd1851b1b683dca3903836f35,,8672a6b75ec6b2cd4ebfdc8754d12706,40.755336,-74.017869,1108913039,uuuu,US,US,1490900131,0,0,85977539,Lincoln Hwy  & W 26th St,85810589,110/891/303/9/1108913039.geojson,intersection,85688543,mapzen,,,US
"-73.98086331,40.7793654441,-73.9787738,40.7812559741",uuuu,85633793,,16e91c1422ef85af850db913a9653331,,4a9f82fc799687ca9b34a43d76164830,40.780303,-73.979847,1108911467,uuuu,US,US,1490900131,0,0,85977539,W 75th St  & Amsterdam Ave,85853285,110/891/146/7/1108911467.geojson,intersection,85688543,mapzen,,,US
"-73.9672419846,40.7639489645,-73.9654834484,40.76552447",uuuu,85633793,,8a0d3fff2ccc2ba3f474cb007680fd0d,,55af20be2ccb02dc40c43dc274d7ba99,40.764736,-73.966363,1108911463,uuuu,US,US,1490900131,0,0,85977539,E 63rd St  & Lexington Ave,907214349,110/891/146/3/1108911463.geojson,intersection,85688543,mapzen,,,US
"-74.0127128753,40.8209624192,-73.9578451749,40.8666390973",uuuu,85633793,,ef80d22a5c630edab81357767ca6a4aa,,0a6825fc465c0074daed507df1becdbe,40.841002,-73.979806,1108911461,uuuu,US,US,1490900131,0,0,85977539,W 135th St  & Marginal St,85869313,110/891/146/1/1108911461.geojson,intersection,85688543,mapzen,,,US
"-73.976733269,40.7881747404,-73.9751528503,40.7896898862",uuuu,85633793,,47272020a870beb47f3f96814f9b341f,,d88f354e9964490771fb216bf1f5289e,40.788936,-73.975945,1108911469,uuuu,US,US,1490900131,0,0,85977539,Broadway  & W 87th St,85853285,110/891/146/9/1108911469.geojson,intersection,85688543,mapzen,,,US
"-73.9567352643,40.767463255,-73.954331655,40.7695275141",uuuu,85633793,,be93ce3dae6a56e821b51e70f12996a1,,ba714b566c318e9c891e67d8e1cd554d,40.768492,-73.955534,1108911205,uuuu,US,US,1490900131,0,0,85977539,1st Ave  & E 73rd St,907214349,110/891/120/5/1108911205.geojson,intersection,85688543,mapzen,,,US
"-74.0035520131,40.7302507717,-74.0020446983,40.7314751958",uuuu,85633793,,33ab43eb30d734f6f26c263df94dcc3f,,795a8a426fdd4701ef03a7d984811cb9,40.730822,-74.002787,1108911207,uuuu,US,US,1490900131,0,0,85977539,Leroy St  & Bleecker St,85856577,110/891/120/7/1108911207.geojson,intersection,85688543,mapzen,,,US
"-73.9661284681,40.7903835447,-73.96362555,40.7928848977",uuuu,85633793,,2b3eb08114d2318a8f205fbbfd5fd18e,,6aef82b0a86bfd98af9486f0947a5507,40.791713,-73.964766,1108911203,uuuu,US,US,1490900131,0,0,85977539,Central Park W  & W 96th St,420529187,110/891/120/3/1108911203.geojson,intersection,85688543,mapzen,,,US
"-74.0046373921,40.7070651439,-74.0035845968,40.707875307",uuuu,85633793,,838dc5b8d1634a1249449c4f02cb19bc,,0115230154ab76a5e970e943d4336d0f,40.707471,-74.004107,1108911201,uuuu,US,US,1490900131,0,0,85977539,Pearl St  & Water St,907215463,110/891/120/1/1108911201.geojson,intersection,85688543,mapzen,,,US
"-73.9935337643,40.7247824038,-73.9925597199,40.7265235134",uuuu,85633793,,3506ddd3744ecd3bfa0ae38cd8a2eb6e,,d33924824b605e3437223df300e8f0b1,40.725603,-73.993,1108911209,uuuu,US,US,1490900131,0,0,85977539,Elizabeth St  & Bleecker St,85865699,110/891/120/9/1108911209.geojson,intersection,85688543,mapzen,,,US
"-73.9384570547,40.7966211462,-73.9360590098,40.7986762384",uuuu,85633793,,163a3ad5ee6a8233804a811f01fc2944,,425120b823a575f7885a97354000f2da,40.797647,-73.937261,1108912115,uuuu,US,US,1490900131,0,0,85977539,2nd Ave  & E 117th St,85865689,110/891/211/5/1108912115.geojson,intersection,85688543,mapzen,,,US
"-73.9860877405,40.7272213514,-73.9837310245,40.7292126856",uuuu,85633793,,a89a7255217b740aacb1b0d5660dec30,,6a141f137cb949cf4018c2c17831d69b,40.728215,-73.984908,1108912117,uuuu,US,US,1490900131,0,0,85977539,E 9th St  & 1st Ave,85816887,110/891/211/7/1108912117.geojson,intersection,85688543,mapzen,,,US
